Entidad;Nit Entidad;Departamento Entidad;Ciudad Entidad;;
ALCALDIA MUNICIPIO DE LA VEGA;891500997;Cauca;La Vega;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO LA PLATA HUILA;813002057;Huila;Neiva;;
SECRETARIA DE INFRAESTRUCTURA Y VALORIZACION - GOBERNACION DEL VALLE;8903990295;Valle del Cauca;Cali;;
PERSONERIA DE SAN MARCOS  SUCRE;8230002295;Sucre;San Marcos;;
CENTRAL ADMINISTRATIVA Y CONTABLE REGIONAL ARMENIA-SANIDAD;830039670;Quindío;Armenia;;
MUNICIPIO DE TENJO;800095174;Cundinamarca;Tenjo;;
BATALLÓN DE APOYO Y SERVICIOS PARA EL COMBATE N°11;800131053;Córdoba;Montería;;
SENA REGIONAL VALLE Grupo de Apoyo Administrativo Mixto;899999034;Valle del Cauca;Cali;;
MUNICIPIO DE SAN AGUSTIN;891180056;Huila;San Agustín;;
ALCALDIA MUNICIPAL DE NOBSA;891855222;Boyacá;Nobsa;;
I.E.D. DIVINO SALVADOR;860506975;Cundinamarca;Cucunubá;;
DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPUBLICA;899999083;No Definido;No Definido;;
SENA REGIONAL BOLIVAR Centro para la Industria Petroquímica;899999034;Bolívar;Cartagena;;
UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS - USPEC;900523392;Distrito Capital de Bogotá;Bogotá;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE NEIVA;813001835;Huila;Rivera;;
HOSPITAL SAN JUAN DE DIOS DE HONDA ESE;890700666;Tolima;Ibagué;;
DIRECCION DE SANIDAD DE EJERCITO-DISPENSARIO MEDICO FLORENCIA;901440188;Caquetá;Florencia;;
SUPERINTENDENCIA DE VIGILANCIA Y SEGURIDAD PRIVADA;800217123;Distrito Capital de Bogotá;Bogotá;;
MUNICIPIO DE ITAGUI;890980093;No Definido;No Definido;;
ALCALDÍA DE PORE;800099429;No Definido;No Definido;;
SENA REGIONAL TOLIMA 1;899999034;Tolima;Ibagué;;
PERSONERIA MUNICIPAL DE SAN  FRANCISCO CUNDINAMARCA;899999173;Cundinamarca;San Francisco;;
MUNICIPIO DE PALERMO HUILA;891180021;No Definido;No Definido;;
FONDO ROTATORIO DE LA POLICIA;860020227;Distrito Capital de Bogotá;No Definido;;
EMPRESA DE SERVICIOS PUBLICOS DE SAN FRANCISCO SAS E.S.P;900358638;Cundinamarca;San Francisco;;
ALCALDIA MUNICIPAL DE BAHIA SOLANO CHOCO;891680395;No Definido;No Definido;;
ALCALDIA DISTRITAL DE BUENAVENTURA-VALLE;890399045;No Definido;No Definido;;
ESTABLECIMIENTO DE SANIDAD MILITAR 1034 BARRANQUILLA;830039670;Arauca;Arauca;;
MUNICIPIO DE LA PAZ;800096605;No Definido;No Definido;;
ALCALDÍA MUNICIPAL DE MAGANGUE;800028432;No Definido;No Definido;;
MUNICIPIO DE VILLA DE LEYVA;891801268;Boyacá;No Definido;;
SENA SECRETARIA GENERAL;899999034;Distrito Capital de Bogotá;No Definido;;
UNIDAD PRESTADORA DE SALUD NARIÑO;900807338;Nariño;Pasto;;
PERSONERIA MUNICIPAL DE NEIVA;8002512646;Huila;Neiva;;
ESTABLECIMIENTO PENITENCIARIO Y CARCELARIO DE SOGAMOSO;826000801;Boyacá;No Definido;;
IDIGER;800154275;No Definido;No Definido;;
ESE HOSPITAL DE JUAN DE ACOSTA;802003414;Atlántico;Juan De Acosta;;
MINISTERIO DE TRABAJO DIRECCION TERRITORIAL CAQUETA;830115226;Caquetá;Florencia;;
DIRECCIÓN DE SANIDAD NAVAL;830039670;Distrito Capital de Bogotá;Bogotá;;
DGSM-DISAN-ARC-ESM 3030 HOSPITAL NAVAL DE BAHIA MALAGA;830039670;Valle del Cauca;No Definido;;
CONTRALORIA DE CUNDINAMARCA;899999117;Distrito Capital de Bogotá;No Definido;;
MUNICIPIO DE SABANALARGA;890983736;No Definido;No Definido;;
INSTITUTO COLOMBIANO AGROPECUARIO - SECCIONAL VICHADA;899999069;Vichada;Puerto Carreño;;
MUNICIPIO DE SAN EDUARDO;891801282;Boyacá;Socha;;
MUNICIPIO DE SACAMA;800103663;No Definido;No Definido;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CAQUEZA;832001806;Cundinamarca;Caqueza;;
MUNICIPIO LA ARGENTINA;891180205;Huila;La Argentina;;
SERVICIO NACIONAL DE APRENDIZAJE SENA - REGIONAL VAUPES;899999034;Vaupés;Mitú;;
UNIDAD NACIONAL DE PROTECCIÓN;900475780;No Definido;No Definido;;
CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA;811000231;Antioquia;Medellín;;
ALCALDIA MUNICIPAL DE TENA;800004574;Cundinamarca;Tena;;
DIRECCION DE  SANIDAD EJERCITO DISPENSARIO MEDICO IBAGUE;830039670;Tolima;Ibagué;;
INSTITUTO DISTRITAL DE RECREACIÓN Y DEPORTE;860061099;Distrito Capital de Bogotá;No Definido;;
